"SUID","Assembly","interaction","name","Regulator Gene","Regulatory function","selected","shared interaction","shared name","Strength","Target Gene"
"161997","hg19","regulates","TCF4 regulates VGLL4","TCF4","Metatargetome","false","regulates","TCF4 regulates VGLL4","12","VGLL4"
"161998","hg19","regulates","TCF4 regulates TXNIP","TCF4","Metatargetome","false","regulates","TCF4 regulates TXNIP","12","TXNIP"
"161999","hg19","regulates","TCF4 regulates TRPV1","TCF4","Metatargetome","false","regulates","TCF4 regulates TRPV1","12","TRPV1"
"162000","hg19","regulates","TCF4 regulates TPO","TCF4","Metatargetome","false","regulates","TCF4 regulates TPO","12","TPO"
"162001","hg19","regulates","TCF4 regulates TFDP2","TCF4","Metatargetome","false","regulates","TCF4 regulates TFDP2","12","TFDP2"
"162002","hg19","regulates","TCF4 regulates SYNJ2","TCF4","Metatargetome","false","regulates","TCF4 regulates SYNJ2","12","SYNJ2"
"162003","hg19","regulates","TCF4 regulates STUB1","TCF4","Metatargetome","false","regulates","TCF4 regulates STUB1","12","STUB1"
"162004","hg19","regulates","TCF4 regulates SLC7A8","TCF4","Metatargetome","false","regulates","TCF4 regulates SLC7A8","12","SLC7A8"
"162005","hg19","regulates","TCF4 regulates SCFD1","TCF4","Metatargetome","false","regulates","TCF4 regulates SCFD1","12","SCFD1"
"162006","hg19","regulates","TCF4 regulates RUNX2","TCF4","Metatargetome","false","regulates","TCF4 regulates RUNX2","12","RUNX2"
"162007","hg19","regulates","TCF4 regulates RAB3IL1","TCF4","Metatargetome","false","regulates","TCF4 regulates RAB3IL1","12","RAB3IL1"
"162008","hg19","regulates","TCF4 regulates PTK6","TCF4","Metatargetome","false","regulates","TCF4 regulates PTK6","12","PTK6"
"162009","hg19","regulates","TCF4 regulates PTK2B","TCF4","Metatargetome","false","regulates","TCF4 regulates PTK2B","12","PTK2B"
"162010","hg19","regulates","TCF4 regulates PTCH2","TCF4","Metatargetome","false","regulates","TCF4 regulates PTCH2","12","PTCH2"
"162011","hg19","regulates","TCF4 regulates PRPS1","TCF4","Metatargetome","false","regulates","TCF4 regulates PRPS1","12","PRPS1"
"162012","hg19","regulates","TCF4 regulates POGK","TCF4","Metatargetome","false","regulates","TCF4 regulates POGK","12","POGK"
"162013","hg19","regulates","TCF4 regulates PLXNA3","TCF4","Metatargetome","false","regulates","TCF4 regulates PLXNA3","12","PLXNA3"
"162014","hg19","regulates","TCF4 regulates PI4KA","TCF4","Metatargetome","false","regulates","TCF4 regulates PI4KA","12","PI4KA"
"162015","hg19","regulates","TCF4 regulates PHYHIP","TCF4","Metatargetome","false","regulates","TCF4 regulates PHYHIP","12","PHYHIP"
"162016","hg19","regulates","TCF4 regulates PHACTR3","TCF4","Metatargetome","false","regulates","TCF4 regulates PHACTR3","12","PHACTR3"
"162017","hg19","regulates","TCF4 regulates PDHA2","TCF4","Metatargetome","false","regulates","TCF4 regulates PDHA2","12","PDHA2"
"162018","hg19","regulates","TCF4 regulates PCDH9","TCF4","Metatargetome","false","regulates","TCF4 regulates PCDH9","12","PCDH9"
"162019","hg19","regulates","TCF4 regulates PARD6B","TCF4","Metatargetome","false","regulates","TCF4 regulates PARD6B","12","PARD6B"
