# HOMER Peaks
# Peak finding parameters:
# tag directory = LXR_control_chip/
#
# total peaks = 706
# peak size = 103
# peaks found using tags on both strands
# minimum distance between peaks = 206
# fragment length = 102
# genome size = 2000000000
# Total tags = 20325998.0
# Total tags in peaks = 6984.0
# Approximate IP efficiency = 0.03%
# tags per bp = 0.010141
# expected tags per peak = 1.044
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.050000000
# FDR effective poisson threshold = 1.602641e-06
# FDR tag threshold = 9.0
# number of putative peaks = 2049
#
# input tag directory = LXR_control_input/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1230
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 113
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks LXR_control_chip/ -center -i LXR_control_input/ -o LXR_control_fdr005.txt -fdr 0.05
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr19-1	chr19	44358673	44358775	+	52.1	0.714	103.000000	107.0	4.8	22.49	2.21e-102	27.38	4.31e-108	0.65
chr19-3	chr19	44322708	44322810	+	30.0	0.713	58.000000	61.0	1.9	32.05	3.37e-68	22.99	1.04e-59	0.79
chr7-1	chr7	51805786	51805888	+	28.5	0.967	42.000000	58.0	1.0	60.96	9.18e-81	59.93	2.43e-80	1.05
chr11-55	chr11	83993127	83993229	+	23.1	0.822	42.000000	49.0	1.9	25.75	1.25e-50	28.77	8.22e-51	0.91
chr4-2	chr4	53172787	53172889	+	20.7	0.761	42.000000	42.0	1.0	44.14	3.40e-53	19.50	8.67e-39	0.81
chr4-3	chr4	53171668	53171770	+	19.7	0.831	40.000000	40.0	1.0	42.04	6.48e-50	17.47	3.23e-35	0.81
chr1-1	chr1	78654270	78654372	+	15.3	0.684	31.000000	31.0	2.9	10.86	1.02e-21	20.02	1.65e-28	0.85
chr11-115	chr11	44333630	44333732	+	15.3	0.800	32.000000	32.0	3.8	8.41	3.59e-19	25.24	2.16e-32	0.84
chr11-114	chr11	77318627	77318729	+	15.3	0.667	32.000000	31.0	0.5	65.16	7.53e-45	10.95	8.03e-22	0.84
chr19-5	chr19	44463123	44463225	+	14.8	0.717	30.000000	30.0	3.8	7.88	2.48e-17	15.01	5.71e-25	0.85
chr11-125	chr11	77319462	77319564	+	14.3	0.865	29.000000	29.0	2.9	10.16	1.17e-19	9.78	1.27e-18	0.85
chr9-43	chr9	65044273	65044375	+	13.8	0.698	27.000000	28.0	3.8	7.36	1.50e-15	19.50	2.07e-26	0.88
chr11-126	chr11	77319956	77320058	+	13.3	0.696	29.000000	28.0	2.9	9.81	1.19e-18	9.54	9.57e-18	0.85
chr7-2	chr7	51807428	51807530	+	12.8	0.897	22.000000	26.0	1.9	13.66	7.33e-21	18.64	3.69e-24	1.01
chr11-137	chr11	87236630	87236732	+	12.8	0.679	26.000000	27.0	1.9	14.19	5.15e-22	13.22	1.63e-20	0.89
chr11-135	chr11	120685979	120686081	+	12.8	0.756	26.000000	26.0	1.0	27.33	2.63e-28	17.11	3.04e-23	0.93
chr1-7	chr1	12634836	12634938	+	11.8	0.893	19.000000	24.0	0.5	50.45	1.81e-32	29.57	4.80e-27	1.09
chr10-3	chr10	39978365	39978467	+	11.8	0.630	24.000000	24.0	1.9	12.61	1.32e-18	16.01	6.31e-21	0.86
chr14-2	chr14	27936868	27936970	+	11.8	0.788	24.000000	24.0	2.9	8.41	8.97e-15	32.03	7.48e-28	0.86
chr4-4	chr4	53230526	53230628	+	11.3	0.757	24.000000	23.0	1.9	12.09	1.67e-17	13.39	1.88e-18	0.87
chr4-6	chr4	53231084	53231186	+	11.3	0.800	22.000000	23.0	2.9	8.06	7.58e-14	13.39	1.88e-18	0.90
chr17-13	chr17	74927650	74927752	+	11.3	0.875	24.000000	23.0	1.9	12.09	1.67e-17	21.46	6.85e-23	0.87
chr1-9	chr1	135582392	135582494	+	8.9	0.923	19.000000	18.0	1.0	18.92	2.46e-17	18.02	5.66e-17	0.87
chr6-3	chr6	124612654	124612756	+	8.4	0.893	19.000000	17.0	1.0	17.87	4.66e-16	16.17	2.44e-15	0.88
chr11-157	chr11	101519764	101519866	+	8.4	0.710	18.000000	17.0	1.0	17.87	4.66e-16	12.86	9.27e-14	0.88
chr4-8	chr4	28740194	28740296	+	7.9	0.889	16.000000	16.0	1.0	16.82	8.33e-15	13.14	3.56e-13	0.88
chr8-5	chr8	19950662	19950764	+	7.9	0.944	16.000000	16.0	3.8	4.20	2.64e-06	25.20	1.76e-17	0.93
chr10-6	chr10	79623670	79623772	+	7.9	0.808	18.000000	16.0	1.9	8.41	2.37e-10	11.65	2.12e-12	0.88
chr17-17	chr17	31193838	31193940	+	7.9	0.941	15.000000	16.0	1.9	8.41	2.37e-10	22.95	7.43e-17	0.93
chr4-10	chr4	116862612	116862714	+	6.9	0.840	15.000000	14.0	1.0	14.71	2.21e-12	21.35	1.62e-14	0.88
chr10-8	chr10	11211906	11212008	+	6.9	0.933	13.000000	14.0	1.9	7.36	1.60e-08	61.15	9.93e-21	0.94
chr4-13	chr4	3159318	3159420	+	6.4	0.667	13.000000	13.0	1.9	6.83	1.19e-07	9.39	3.05e-09	0.88
chr4-11	chr4	53232428	53232530	+	6.4	0.696	15.000000	13.0	0.5	27.33	6.38e-15	7.06	8.23e-08	0.88
chr4-12	chr4	145028792	145028894	+	6.4	0.889	15.000000	13.0	2.9	4.55	9.66e-06	7.14	7.24e-08	0.88
chr5-5	chr5	115939543	115939645	+	6.4	0.769	15.000000	13.0	1.0	13.66	3.25e-11	6.79	1.27e-07	0.88
chr8-16	chr8	112302378	112302480	+	6.4	0.889	13.000000	13.0	0.5	27.33	6.38e-15	13.29	4.54e-11	0.88
chr11-172	chr11	77319010	77319112	+	6.4	0.650	13.000000	13.0	1.0	13.66	3.25e-11	4.34	1.60e-05	0.88
chr13-7	chr13	13018161	13018263	+	6.4	0.882	12.000000	13.0	2.9	4.55	9.66e-06	7.35	5.21e-08	0.95
chr16-9	chr16	56181710	56181812	+	6.4	0.867	13.000000	13.0	1.9	6.83	1.19e-07	14.36	1.78e-11	0.88
chr17-22	chr17	31701768	31701870	+	6.4	0.812	13.000000	13.0	1.0	13.66	3.25e-11	14.52	1.55e-11	0.88
chr1-36	chr1	173473842	173473944	+	5.9	0.609	12.000000	12.0	2.9	4.20	4.48e-05	5.06	7.56e-06	0.87
chr4-20	chr4	146023188	146023290	+	5.9	0.722	12.000000	12.0	1.9	6.31	8.21e-07	6.41	6.98e-07	0.87
chr5-13	chr5	13078934	13079036	+	5.9	0.923	12.000000	12.0	0.5	25.22	1.74e-13	7.90	7.82e-08	0.87
chr5-17	chr5	13418810	13418912	+	5.9	0.778	11.000000	12.0	1.9	6.31	8.21e-07	6.34	7.82e-07	0.95
chr5-9	chr5	33994954	33995056	+	5.9	0.833	13.000000	12.0	1.0	12.61	4.44e-10	7.79	9.04e-08	0.87
chr8-20	chr8	20020329	20020431	+	5.9	0.857	12.000000	12.0	2.9	4.20	4.48e-05	42.71	3.82e-16	0.87
chr9-60	chr9	65049465	65049567	+	5.9	0.778	12.000000	12.0	1.0	12.61	4.44e-10	11.42	1.44e-09	0.87
chr11-171	chr11	87262332	87262434	+	5.9	0.737	13.000000	12.0	1.0	12.61	4.44e-10	14.68	4.95e-10	0.87
chr15-5	chr15	61178230	61178332	+	5.9	0.722	12.000000	12.0	2.9	4.20	4.48e-05	5.31	4.63e-06	0.87
chr15-4	chr15	82980185	82980287	+	5.9	0.722	12.000000	12.0	0.5	25.22	1.74e-13	8.66	1.09e-07	0.87
chr16-8	chr16	3253427	3253529	+	5.9	0.833	13.000000	12.0	2.9	4.20	4.48e-05	5.19	5.81e-06	0.87
chr19-10	chr19	54032814	54032916	+	5.9	0.765	12.000000	12.0	1.0	12.61	4.44e-10	6.07	3.30e-06	0.87
chr1-55	chr1	60076859	60076961	+	5.4	0.733	11.000000	11.0	1.9	5.78	5.25e-06	9.35	5.09e-08	0.87
chr1-60	chr1	72273034	72273136	+	5.4	0.632	11.000000	11.0	1.9	5.78	5.25e-06	10.90	1.11e-08	0.87
chr2-18	chr2	116964702	116964804	+	5.4	0.917	11.000000	11.0	1.9	5.78	5.25e-06	9.03	7.19e-08	0.87
chr4-26	chr4	138528048	138528150	+	5.4	0.789	11.000000	11.0	1.9	5.78	5.25e-06	12.89	1.87e-09	0.87
chr5-23	chr5	64622722	64622824	+	5.4	0.733	11.000000	11.0	1.0	11.56	5.60e-09	6.61	1.50e-06	0.87
