# HOMER Peaks
# Peak finding parameters:
# tag directory = LXR_gw_chip/
#
# total peaks = 504
# peak size = 99
# peaks found using tags on both strands
# minimum distance between peaks = 198
# fragment length = 98
# genome size = 2000000000
# Total tags = 19684936.0
# Total tags in peaks = 5544.0
# Approximate IP efficiency = 0.03%
# tags per bp = 0.009819
# expected tags per peak = 0.972
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.050000000
# FDR effective poisson threshold = 8.958906e-07
# FDR tag threshold = 9.0
# number of putative peaks = 1616
#
# input tag directory = LXR_gw_input/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1062
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 50
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks LXR_gw_chip/ -center -i LXR_gw_input/ -o LXR_gw_fdr005.txt -fdr 0.05
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr19-1	chr19	44358678	44358776	+	56.9	0.829	103.000000	93.1	3.0	31.03	1.05e-101	37.34	7.02e-131	0.67
chr19-2	chr19	44322720	44322818	+	45.2	0.788	80.000000	74.8	0.5	149.63	9.71e-131	34.37	2.82e-101	0.75
chr7-1	chr7	51805791	51805889	+	39.1	0.987	51.000000	64.0	2.0	32.00	2.03e-71	65.26	7.31e-109	1.04
chr11-1	chr11	77319961	77320059	+	38.1	0.675	78.000000	64.0	2.0	32.00	2.03e-71	14.94	1.01e-59	0.70
chr11-2	chr11	77318433	77318531	+	34.0	0.604	68.000000	55.7	0.5	111.39	1.33e-90	12.76	2.76e-49	0.72
chr11-4	chr11	77319416	77319514	+	31.0	0.725	63.000000	51.5	1.0	51.54	2.42e-67	11.47	9.02e-42	0.74
chr1-2	chr1	12634831	12634929	+	27.4	0.966	33.000000	44.9	1.0	44.89	1.42e-55	76.06	1.97e-80	1.29
chr17-13	chr17	4626290	4626388	+	27.4	0.723	44.000000	44.9	0.5	89.78	1.30e-68	45.38	1.61e-68	0.96
chr14-1	chr14	104736164	104736262	+	26.4	0.981	36.000000	43.2	0.5	86.45	1.14e-66	89.66	3.45e-81	1.11
chr11-40	chr11	83993136	83993234	+	22.9	0.778	43.000000	37.4	0.5	74.81	3.21e-55	31.21	3.47e-49	0.90
chr1-1	chr1	78654248	78654346	+	21.8	0.873	42.000000	35.7	1.0	35.74	3.66e-41	39.09	3.39e-52	0.84
chr7-2	chr7	51807428	51807526	+	21.8	0.935	27.000000	35.7	0.5	71.49	1.71e-51	27.22	1.23e-45	1.27
chr4-2	chr4	53172789	53172887	+	20.8	0.773	39.000000	34.1	1.0	34.08	1.28e-39	27.16	1.49e-43	0.85
chr4-3	chr4	53231061	53231159	+	18.8	0.806	38.000000	30.8	0.5	61.51	2.13e-42	19.89	1.11e-34	0.84
chr11-95	chr11	44333633	44333731	+	18.8	0.837	36.000000	30.8	2.0	15.38	5.86e-25	25.00	3.42e-38	0.87
chr11-99	chr11	77318999	77319097	+	18.3	0.818	36.000000	29.9	6.0	4.99	1.29e-11	6.51	6.83e-18	0.82
chr4-4	chr4	53171673	53171771	+	13.2	0.767	27.000000	21.6	3.0	7.20	1.18e-11	15.30	4.73e-22	0.85
chr4-6	chr4	53230513	53230611	+	12.7	0.906	25.000000	20.8	0.5	41.56	2.38e-25	12.82	1.76e-19	0.89
chr11-165	chr11	25000078	25000176	+	12.7	0.833	21.000000	20.8	0.5	41.56	2.38e-25	25.51	1.46e-26	1.02
chr6-3	chr6	124612644	124612742	+	11.7	0.800	23.000000	19.1	1.0	19.12	3.18e-18	23.47	9.10e-24	0.90
chr11-159	chr11	120686029	120686127	+	11.7	0.688	24.000000	19.1	1.0	19.12	3.18e-18	13.93	4.61e-18	0.91
chr17-16	chr17	31193832	31193930	+	11.7	0.923	21.000000	19.1	2.0	9.56	6.48e-13	33.34	3.81e-27	0.94
